Run 3: Cruise Speed | V-infity: 135.833 m/s | p = 0.7708kg/m^3 | a = 2.1| max-drag = 7759.1N

:thickness , 5.98 , :generation , 2932603 , :positon-camber , 2.3954605256216377 , :CD-Induced , 0.05568436679500629 , :Lift , 162291.109394292 , :corrected-thickness , 0.059800000000000006 , :score , 162291.109394292 , :cl-2D , 0.40525910194738124 , :Drag , 9332.62576644496 , :corrected-position-camber , 0.23954605256216377 , :corrected-max-camber , 0.0173 , :max-camber , 1.73 , :CL-3D , 0.9683317309875058 , 
:thickness , 2.89 , :generation , 1000522 , :positon-camber , 2.0444899472407227 , :CD-Induced , 0.05568368037098616 , :Lift , 162290.10910583165 , :corrected-thickness , 0.028900000000000002 , :score , 162290.10910583165 , :cl-2D , 0.4052577976165912 , :Drag , 9332.510722692727 , :corrected-position-camber , 0.20444899472407227 , :corrected-max-camber , 0.0177 , :max-camber , 1.77 , :CL-3D , 0.9683257626318768 , 
:thickness , 2.71 , :generation , 275688 , :positon-camber , 2.967834359589976 , :CD-Induced , 0.05567396952381947 , :Lift , 162275.95735480305 , :corrected-thickness , 0.0271 , :score , 162275.95735480305 , :cl-2D , 0.4052393443750203 , :Drag , 9330.88319763142 , :corrected-position-camber , 0.2967834359589976 , :corrected-max-camber , 0.0167 , :max-camber , 1.67 , :CL-3D , 0.9682413243060733 , 
:thickness , 9.56 , :generation , 134571 , :positon-camber , 2.0327935007124354 , :CD-Induced , 0.05567275663328252 , :Lift , 162274.18970605516 , :corrected-thickness , 0.0956 , :score , 162274.18970605516 , :cl-2D , 0.4052370394412145 , :Drag , 9330.679918791619 , :corrected-position-camber , 0.20327935007124354 , :corrected-max-camber , 0.0177 , :max-camber , 1.77 , :CL-3D , 0.9682307773920852 , 
:thickness , 7.38 , :generation , 74316 , :positon-camber , 6.9989586520299385 , :CD-Induced , 0.05566954830169964 , :Lift , 162269.51383817667 , :corrected-thickness , 0.0738 , :score , 162269.51383817667 , :cl-2D , 0.4052309423215477 , :Drag , 9330.142206688186 , :corrected-position-camber , 0.6998958652029938 , :corrected-max-camber , 0.0105 , :max-camber , 1.05 , :CL-3D , 0.9682028781975234 , 
:thickness , 14.41 , :generation , 14796 , :positon-camber , 3.1303947056169377 , :CD-Induced , 0.05565056372275555 , :Lift , 162241.84268604187 , :corrected-thickness , 0.1441 , :score , 162241.84268604187 , :cl-2D , 0.4051948603940282 , :Drag , 9326.960416523076 , :corrected-position-camber , 0.3130394705616938 , :corrected-max-camber , 0.0165 , :max-camber , 1.65 , :CL-3D , 0.9680377745467744 , 
:thickness , 6.84 , :generation , 5980 , :positon-camber , 1.3582573361047856 , :CD-Induced , 0.05537098490652742 , :Lift , 161833.79205491935 , :corrected-thickness , 0.0684 , :score , 161833.79205491935 , :cl-2D , 0.4046627808758082 , :Drag , 9280.10337900502 , :corrected-position-camber , 0.13582573361047856 , :corrected-max-camber , 0.0183 , :max-camber , 1.83 , :CL-3D , 0.9656030855768108 , 
:thickness , 1.73 , :generation , 2374 , :positon-camber , 0.4091044062309193 , :CD-Induced , 0.05530806679897939 , :Lift , 161741.8199676624 , :corrected-thickness , 0.0173 , :score , 161741.8199676624 , :cl-2D , 0.4045428534448844 , :Drag , 9269.558387915504 , :corrected-position-camber , 0.04091044062309193 , :corrected-max-camber , 0.018799999999999997 , :max-camber , 1.88 , :CL-3D , 0.9650543217487216 , 
:thickness , 9.52 , :generation , 1142 , :positon-camber , 1.6177542700625842 , :CD-Induced , 0.05529460631349621 , :Lift , 161722.13698084827 , :corrected-thickness , 0.09519999999999999 , :score , 161722.13698084827 , :cl-2D , 0.4045171877226862 , :Drag , 9267.302428462617 , :corrected-position-camber , 0.1617754270062584 , :corrected-max-camber , 0.018000000000000002 , :max-camber , 1.8 , :CL-3D , 0.9649368805606993 , 
:thickness , 1.6800000000000006 , :generation , 523 , :positon-camber , 1.837978634708645 , :CD-Induced , 0.052504041589764176 , :Lift , 157588.4753874705 , :corrected-thickness , 0.016800000000000006 , :score , 157588.4753874705 , :cl-2D , 0.3991270804631085 , :Drag , 8799.607494631216 , :corrected-position-camber , 0.18379786347086452 , :corrected-max-camber , 0.0173 , :max-camber , 1.73 , :CL-3D , 0.940272832721164 , 
:thickness , 10.05 , :generation , 472 , :positon-camber , 4.966238814380352 , :CD-Induced , 0.0512070339747405 , :Lift , 155629.84929341526 , :corrected-thickness , 0.1005 , :score , 155629.84929341526 , :cl-2D , 0.39657312085855884 , :Drag , 8582.23074449583 , :corrected-position-camber , 0.4966238814380352 , :corrected-max-camber , 0.013300000000000001 , :max-camber , 1.33 , :CL-3D , 0.9285864267122808 , 
:thickness , 0.49 , :generation , 229 , :positon-camber , 2.350928313289475 , :CD-Induced , 0.05000321274013354 , :Lift , 153789.62598610058 , :corrected-thickness , 0.0049 , :score , 153789.62598610058 , :cl-2D , 0.3941735531184488 , :Drag , 8380.471907699754 , :corrected-position-camber , 0.23509283132894748 , :corrected-max-camber , 0.0163 , :max-camber , 1.63 , :CL-3D , 0.9176064868546616 , 
:thickness , 8.19 , :generation , 202 , :positon-camber , 8.482230750020934 , :CD-Induced , 0.04842780624407077 , :Lift , 151347.5811262301 , :corrected-thickness , 0.0819 , :score , 151347.5811262301 , :cl-2D , 0.3909892373659234 , :Drag , 8116.435875613658 , :corrected-position-camber , 0.8482230750020934 , :corrected-max-camber , 0.0066 , :max-camber , 0.66 , :CL-3D , 0.9030356977637918 , 
:thickness , 9.01 , :generation , 47 , :positon-camber , 6.485356155007175 , :CD-Induced , 0.013785466353947817 , :Lift , 80749.30955047224 , :corrected-thickness , 0.0901 , :score , 80749.30955047224 , :cl-2D , 0.2989322928052581 , :Drag , 2310.4258143212123 , :corrected-position-camber , 0.6485356155007176 , :corrected-max-camber , 0.0045000000000000005 , :max-camber , 0.45 , :CL-3D , 0.48180161553449113 , 
:thickness , 10.24 , :generation , 39 , :positon-camber , 4.851693135761695 , :CD-Induced , 0.005678522814445374 , :Lift , 51825.77124366542 , :corrected-thickness , 0.1024 , :score , 51825.77124366542 , :cl-2D , 0.26121731051208985 , :Drag , 951.7128663514053 , :corrected-position-camber , 0.48516931357616955 , :corrected-max-camber , 0.0025 , :max-camber , 0.25 , :CL-3D , 0.3092254342547867 , 
:thickness , 7.4 , :generation , 25 , :positon-camber , 4.150910429519582 , :CD-Induced , 0.004781829950690446 , :Lift , 47558.17166806848 , :corrected-thickness , 0.07400000000000001 , :score , 47558.17166806848 , :cl-2D , 0.2556525541976768 , :Drag , 801.4283357636024 , :corrected-position-camber , 0.4150910429519582 , :corrected-max-camber , 0.0022 , :max-camber , 0.22 , :CL-3D , 0.283762227430811 , 
:thickness , 13.0 , :generation , 9 , :positon-camber , 5.8952103632708805 , :CD-Induced , 0.26111639672865583 , :Lift , 351435.1188534782 , :corrected-thickness , 0.13 , :score , 0 , :cl-2D , 0.651894312755364 , :Drag , 43762.76058094023 , :corrected-position-camber , 0.5895210363270881 , :corrected-max-camber , 0.0301 , :max-camber , 3.01 , :CL-3D , 2.096884901700952 , 

