Run 1: Max Speed| V-infity: 163.17m/s| p = 0.6805kg/m^3| a = 2.1

:thickness , 28.26 , :generation , 1536199 , :positon-camber , 5.22 , :CD-Induced , 1.0524392267654568 , :Lift , 898881.099878871 , :corrected-thickness , 0.2826 , :score , 449439.5314648172 , :cl-2D , 1.113641524276685 , :Drag , 224720.7842070269 , :corrected-position-camber , 0.522 , :corrected-max-camber , 0.06860000000000001 , :max-camber , 6.86 , :CL-3D , 4.2097473673777825 , 
:thickness , 23.65 , :generation , 31574 , :positon-camber , 5.54 , :CD-Induced , 1.0524449338384811 , :Lift , 898883.5370614618 , :corrected-thickness , 0.2365 , :score , 449439.5314559902 , :cl-2D , 1.113644018727274 , :Drag , 224722.0028027358 , :corrected-position-camber , 0.554 , :corrected-max-camber , 0.066 , :max-camber , 6.6 , :CL-3D , 4.209758781482492 , 
:thickness , 25.88 , :generation , 27419 , :positon-camber , 6.88 , :CD-Induced , 1.0524520360042768 , :Lift , 898886.5700035836 , :corrected-thickness , 0.2588 , :score , 449439.5314357773 , :cl-2D , 1.1136471229363265 , :Drag , 224723.51928390312 , :corrected-position-camber , 0.688 , :corrected-max-camber , 0.0541 , :max-camber , 5.41 , :CL-3D , 4.209772985719419 , 
:thickness , 23.17 , :generation , 1631 , :positon-camber , 8.61 , :CD-Induced , 1.0546570437146439 , :Lift , 899827.7125352497 , :corrected-thickness , 0.23170000000000002 , :score , 449439.03087916906 , :cl-2D , 1.1146103800805212 , :Drag , 225194.3408280403 , :corrected-position-camber , 0.861 , :corrected-max-camber , 0.0346 , :max-camber , 3.46 , :CL-3D , 4.214180656873639 , 
:thickness , 19.76 , :generation , 793 , :positon-camber , 3.2674429701399412 , :CD-Induced , 1.0480613180280465 , :Lift , 897009.5807164795 , :corrected-thickness , 0.19760000000000003 , :score , 449437.58739928185 , :cl-2D , 1.1117260288623199 , :Drag , 223785.9966585988 , :corrected-position-camber , 0.3267442970139941 , :corrected-max-camber , 0.08220000000000001 , :max-camber , 8.22 , :CL-3D , 4.200982445222965 , 
:thickness , 26.82 , :generation , 276 , :positon-camber , 6.56 , :CD-Induced , 1.0785291285918093 , :Lift , 909954.4955980572 , :corrected-thickness , 0.2682 , :score , 449371.29914658907 , :cl-2D , 1.12497511847534 , :Drag , 230291.59822573405 , :corrected-position-camber , 0.6559999999999999 , :corrected-max-camber , 0.057800000000000004 , :max-camber , 5.78 , :CL-3D , 4.261607617285204 , 
:thickness , 25.16 , :generation , 163 , :positon-camber , 3.18 , :CD-Induced , 1.0799555941612895 , :Lift , 910556.0509089743 , :corrected-thickness , 0.2516 , :score , 449363.68586464954 , :cl-2D , 1.1255908089062499 , :Drag , 230596.18252216236 , :corrected-position-camber , 0.318 , :corrected-max-camber , 0.084 , :max-camber , 8.4 , :CL-3D , 4.264424892992532 , 
:thickness , 28.47 , :generation , 33 , :positon-camber , 4.95 , :CD-Induced , 0.9639823311724963 , :Lift , 860276.9216784275 , :corrected-thickness , 0.2847 , :score , 448610.65171512053 , :cl-2D , 1.07413023964533 , :Drag , 205833.13498165348 , :corrected-position-camber , 0.495 , :corrected-max-camber , 0.0675 , :max-camber , 6.75 , :CL-3D , 4.028951667511582 , 
:thickness , 35.58 , :generation , 28 , :positon-camber , 2.97 , :CD-Induced , 1.1517664298051076 , :Lift , 940342.236958284 , :corrected-thickness , 0.3558 , :score , 448483.2321878119 , :cl-2D , 1.1560768995300688 , :Drag , 245929.50238523606 , :corrected-position-camber , 0.29700000000000004 , :corrected-max-camber , 0.0882 , :max-camber , 8.82 , :CL-3D , 4.40392311842213 , 

