Run 2: Max Speed| V-infity: 163.17m/s| p = 0.6805kg/m^3| a = 2.1

:thickness , 19.71 , :generation , 1525331 , :positon-camber , 3.834412412373325 , :CD-Induced , 1.0524353595034117 , :Lift , 898879.4483764062 , :corrected-thickness , 0.1971 , :score , 449439.5314670424 , :cl-2D , 1.1136398339678377 , :Drag , 224719.9584546819 , :corrected-position-camber , 0.38344124123733253 , :corrected-max-camber , 0.0787 , :max-camber , 7.87 , :CL-3D , 4.209739632864114 , 
:thickness , 24.03 , :generation , 734039 , :positon-camber , 4.24 , :CD-Induced , 1.0524333334427127 , :Lift , 898878.5831521511 , :corrected-thickness , 0.2403 , :score , 449439.531466997 , :cl-2D , 1.113638948412869 , :Drag , 224719.52584257704 , :corrected-position-camber , 0.42400000000000004 , :corrected-max-camber , 0.076 , :max-camber , 7.6 , :CL-3D , 4.209735580742503 , 
:thickness , 29.7 , :generation , 329740 , :positon-camber , 5.22 , :CD-Induced , 1.0524392267654568 , :Lift , 898881.099878871 , :corrected-thickness , 0.297 , :score , 449439.5314648172 , :cl-2D , 1.113641524276685 , :Drag , 224720.7842070269 , :corrected-position-camber , 0.522 , :corrected-max-camber , 0.06860000000000001 , :max-camber , 6.86 , :CL-3D , 4.2097473673777825 , 
:thickness , 39.0 , :generation , 245034 , :positon-camber , 5.01 , :CD-Induced , 1.0524166208562122 , :Lift , 898871.4460512837 , :corrected-thickness , 0.39 , :score , 449439.53143485344 , :cl-2D , 1.1136316436070952 , :Drag , 224715.95730821515 , :corrected-position-camber , 0.501 , :corrected-max-camber , 0.0702 , :max-camber , 7.02 , :CL-3D , 4.209702155418963 , 
:thickness , 29.06 , :generation , 73252 , :positon-camber , 4.56 , :CD-Induced , 1.0524682023897238 , :Lift , 898893.4737343297 , :corrected-thickness , 0.29059999999999997 , :score , 449439.53135160846 , :cl-2D , 1.113654188888336 , :Drag , 224726.97119136062 , :corrected-position-camber , 0.45599999999999996 , :corrected-max-camber , 0.0737 , :max-camber , 7.37 , :CL-3D , 4.209805318096124 , 
:thickness , 35.32 , :generation , 32370 , :positon-camber , 3.7 , :CD-Induced , 1.052541901952726 , :Lift , 898924.9458948792 , :corrected-thickness , 0.3532 , :score , 449439.5302960854 , :cl-2D , 1.1136864005698535 , :Drag , 224742.70779939689 , :corrected-position-camber , 0.37 , :corrected-max-camber , 0.0796 , :max-camber , 7.96 , :CL-3D , 4.209952712278777 , 
:thickness , 36.67 , :generation , 26132 , :positon-camber , 5.42 , :CD-Induced , 1.052559895335916 , :Lift , 898932.6294996144 , :corrected-thickness , 0.3667 , :score , 449439.5298710388 , :cl-2D , 1.1136942647210373 , :Drag , 224746.54981428778 , :corrected-position-camber , 0.542 , :corrected-max-camber , 0.0669 , :max-camber , 6.69 , :CL-3D , 4.209988697054528 , 
:thickness , 30.01 , :generation , 23319 , :positon-camber , 2.88 , :CD-Induced , 1.0525973043143877 , :Lift , 898948.6038174394 , :corrected-thickness , 0.30010000000000003 , :score , 449439.52877714456 , :cl-2D , 1.1137106143973623 , :Drag , 224754.53752014742 , :corrected-position-camber , 0.288 , :corrected-max-camber , 0.08470000000000001 , :max-camber , 8.47 , :CL-3D , 4.210063509888415 , 
:thickness , 21.81 , :generation , 14187 , :positon-camber , 8.5 , :CD-Induced , 1.0528455348681616 , :Lift , 899054.595612402 , :corrected-thickness , 0.2181 , :score , 449439.51432815584 , :cl-2D , 1.1138190967475787 , :Drag , 224807.54064212306 , :corrected-position-camber , 0.85 , :corrected-max-camber , 0.036000000000000004 , :max-camber , 3.6 , :CL-3D , 4.2105599033267325 , 
:thickness , 27.02 , :generation , 1772 , :positon-camber , 6.15 , :CD-Induced , 1.0503583184946927 , :Lift , 897992.015465803 , :corrected-thickness , 0.2702 , :score , 449439.0937813207 , :cl-2D , 1.1127315484931408 , :Drag , 224276.46084224113 , :corrected-position-camber , 0.615 , :corrected-max-camber , 0.060700000000000004 , :max-camber , 6.07 , :CL-3D , 4.205583501024608 , 
:thickness , 20.65 , :generation , 1650 , :positon-camber , 6.01 , :CD-Induced , 1.0498007556366784 , :Lift , 897753.6427845487 , :corrected-thickness , 0.2065 , :score , 449438.8269393608 , :cl-2D , 1.1124875746204559 , :Drag , 224157.40792259393 , :corrected-position-camber , 0.601 , :corrected-max-camber , 0.061900000000000004 , :max-camber , 6.19 , :CL-3D , 4.20446712560243 , 
:thickness , 30.55 , :generation , 10 , :positon-camber , 5.36 , :CD-Induced , 1.1232703468476934 , :Lift , 928636.7843533861 , :corrected-thickness , 0.3055 , :score , 448946.9613202757 , :cl-2D , 1.1440963966111997 , :Drag , 239844.91151655524 , :corrected-position-camber , 0.536 , :corrected-max-camber , 0.0697 , :max-camber , 6.97 , :CL-3D , 4.349102744187901 , 
:thickness , 22.65 , :generation , 1 , :positon-camber , 8.45 , :CD-Induced , 6.205567224546638 , :Lift , 2182702.1580712185 , :corrected-thickness , 0.22649999999999998 , :score , -467369.9747120305 , :cl-2D , 2.4276293258712345 , :Drag , 1325036.0663916245 , :corrected-position-camber , 0.845 , :corrected-max-camber , 0.0913 , :max-camber , 9.13 , :CL-3D , 10.222291541059581 , 

