Run 3: Max Speed| V-infity: 163.17m/s| p = 0.6805kg/m^3| a = 2.1

:thickness , 36.63 , :generation , 1031140 , :positon-camber , 7.72 , :CD-Induced , 4.20979497958395 , :Lift , 1797770.3291091372 , :corrected-thickness , 0.3663 , :score , 898879.0628928323 , :cl-2D , 2.03365251385833 , :Drag , 898891.2662163049 , :corrected-position-camber , 0.772 , :corrected-max-camber , 0.09269999999999999 , :max-camber , 9.27 , :CL-3D , 8.419532807105332 , 
:thickness , 28.72 , :generation , 503478 , :positon-camber , 7.64 , :CD-Induced , 4.209800875639236 , :Lift , 1797771.588048063 , :corrected-thickness , 0.2872 , :score , 898879.0628838456 , :cl-2D , 2.0336538023793285 , :Drag , 898892.5251642173 , :corrected-position-camber , 0.764 , :corrected-max-camber , 0.09449999999999999 , :max-camber , 9.45 , :CL-3D , 8.419538703118532 , 
:thickness , 29.55 , :generation , 85520 , :positon-camber , 8.54 , :CD-Induced , 4.21027612753466 , :Lift , 1797873.0619975247 , :corrected-thickness , 0.2955 , :score , 898879.0592601427 , :cl-2D , 2.0337576607254126 , :Drag , 898994.002737382 , :corrected-position-camber , 0.8539999999999999 , :corrected-max-camber , 0.0725 , :max-camber , 7.25 , :CL-3D , 8.420013938042995 , 
:thickness , 37.15 , :generation , 53284 , :positon-camber , 8.0 , :CD-Induced , 4.210953379390376 , :Lift , 1798017.656303134 , :corrected-thickness , 0.3715 , :score , 898879.0442009055 , :cl-2D , 2.033905652653523 , :Drag , 899138.6121022286 , :corrected-position-camber , 0.8 , :corrected-max-camber , 0.0861 , :max-camber , 8.61 , :CL-3D , 8.420691119371492 , 
:thickness , 30.24 , :generation , 1824 , :positon-camber , 8.55 , :CD-Induced , 4.215723252653517 , :Lift , 1799035.70237071 , :corrected-thickness , 0.3024 , :score , 898878.60897949 , :cl-2D , 2.0349476203839325 , :Drag , 900157.09339122 , :corrected-position-camber , 0.8550000000000001 , :corrected-max-camber , 0.0722 , :max-camber , 7.22 , :CL-3D , 8.425458954353699 , 
:thickness , 21.28 , :generation , 1313 , :positon-camber , 8.16 , :CD-Induced , 4.250880959319299 , :Lift , 1806521.8016603875 , :corrected-thickness , 0.21280000000000002 , :score , 898857.7024374513 , :cl-2D , 2.0426096252134935 , :Drag , 907664.0992229362 , :corrected-position-camber , 0.8160000000000001 , :corrected-max-camber , 0.08259999999999999 , :max-camber , 8.26 , :CL-3D , 8.460518749003844 , 
:thickness , 27.39 , :generation , 461 , :positon-camber , 8.32 , :CD-Induced , 4.00863926932047 , :Lift , 1754293.377057613 , :corrected-thickness , 0.27390000000000003 , :score , 898353.6350799659 , :cl-2D , 1.9891539567723049 , :Drag , 855939.7419776472 , :corrected-position-camber , 0.8320000000000001 , :corrected-max-camber , 0.07629999999999999 , :max-camber , 7.63 , :CL-3D , 8.21591635052929 , 
:thickness , 36.08 , :generation , 223 , :positon-camber , 8.54 , :CD-Induced , 4.487905065343398 , :Lift , 1856203.4104086296 , :corrected-thickness , 0.3608 , :score , 897929.0321053459 , :cl-2D , 2.093458633680998 , :Drag , 958274.3783032837 , :corrected-position-camber , 0.8539999999999999 , :corrected-max-camber , 0.07490000000000001 , :max-camber , 7.49 , :CL-3D , 8.693193595168914 , 
:thickness , 32.28 , :generation , 42 , :positon-camber , 8.5 , :CD-Induced , 2.695639950576925 , :Lift , 1438582.1842792996 , :corrected-thickness , 0.32280000000000003 , :score , 862998.9978798467 , :cl-2D , 1.6660243013655962 , :Drag , 575583.1863994529 , :corrected-position-camber , 0.85 , :corrected-max-camber , 0.058499999999999996 , :max-camber , 5.85 , :CL-3D , 6.737339970595052 , 
:thickness , 29.69 , :generation , 2 , :positon-camber , 6.47 , :CD-Induced , 2.235074802413593 , :Lift , 1309935.0620869943 , :corrected-thickness , 0.2969 , :score , 832693.4793084743 , :cl-2D , 1.534354277578211 , :Drag , 477241.58277852 , :corrected-position-camber , 0.647 , :corrected-max-camber , 0.0857 , :max-camber , 8.57 , :CL-3D , 6.1348443968837305 , 
:thickness , 23.63 , :generation , 1 , :positon-camber , 2.89 , :CD-Induced , 0.018612397660856764 , :Lift , 119537.70041593158 , :corrected-thickness , 0.23629999999999998 , :score , 115563.5112257629 , :cl-2D , 0.31598540731797486 , :Drag , 3974.189190168683 , :corrected-position-camber , 0.28900000000000003 , :corrected-max-camber , 0.008199999999999999 , :max-camber , 0.82 , :CL-3D , 0.5598332412330997 , 

