Run 1: Cruise Speed | V-infity: 135.833 m/s | p = 0.7708kg/m^3 | a = 2.1

:thickness , 9.95 , :generation , 1011938 , :positon-camber , 8.803033283327284 , :CD-Induced , 4.209782288411689 , :Lift , 1411100.366195059 , :corrected-thickness , 0.09949999999999999 , :score , 705546.457310925 , :cl-2D , 2.033649740332776 , :Drag , 705553.9088841339 , :corrected-position-camber , 0.8803033283327284 , :corrected-max-camber , 0.0649 , :max-camber , 6.49 , :CL-3D , 8.419520116009654 , 
:thickness , 10.42 , :generation , 178471 , :positon-camber , 8.106247500201771 , :CD-Induced , 4.209529574783181 , :Lift , 1411058.0113152568 , :corrected-thickness , 0.1042 , :score , 705546.456898933 , :cl-2D , 2.033594511490273 , :Drag , 705511.5544163238 , :corrected-position-camber , 0.8106247500201771 , :corrected-max-camber , 0.0836 , :max-camber , 8.36 , :CL-3D , 8.419267399922939 , 
:thickness , 15.5 , :generation , 124298 , :positon-camber , 8.215657407036462 , :CD-Induced , 4.209281951500443 , :Lift , 1411016.508345707 , :corrected-thickness , 0.155 , :score , 705546.455262017 , :cl-2D , 2.033540393500106 , :Drag , 705470.0530836901 , :corrected-position-camber , 0.8215657407036462 , :corrected-max-camber , 0.081 , :max-camber , 8.1 , :CL-3D , 8.41901976687332 , 
:thickness , 14.12 , :generation , 99359 , :positon-camber , 8.935765404480048 , :CD-Induced , 4.210253318229045 , :Lift , 1411179.3075405823 , :corrected-thickness , 0.1412 , :score , 705546.4546859368 , :cl-2D , 2.0337526762674125 , :Drag , 705632.8528546455 , :corrected-position-camber , 0.8935765404480047 , :corrected-max-camber , 0.0608 , :max-camber , 6.08 , :CL-3D , 8.419991130164664 , 
:thickness , 15.25 , :generation , 70116 , :positon-camber , 8.134898647051227 , :CD-Induced , 4.2085814295240365 , :Lift , 1410899.0905517528 , :corrected-thickness , 0.1525 , :score , 705546.4440190078 , :cl-2D , 2.033387286021591 , :Drag , 705352.646532745 , :corrected-position-camber , 0.8134898647051226 , :corrected-max-camber , 0.0828 , :max-camber , 8.28 , :CL-3D , 8.41831917781399 , 
:thickness , 5.63 , :generation , 52897 , :positon-camber , 7.748630187904565 , :CD-Induced , 4.210950105472026 , :Lift , 1411296.0761747914 , :corrected-thickness , 0.056299999999999996 , :score , 705546.4427055523 , :cl-2D , 2.033904937271059 , :Drag , 705749.6334692391 , :corrected-position-camber , 0.7748630187904565 , :corrected-max-camber , 0.0922 , :max-camber , 9.22 , :CL-3D , 8.420687845925071 , 
:thickness , 4.39 , :generation , 2109 , :positon-camber , 8.89659214679048 , :CD-Induced , 4.173810634300325 , :Lift , 1405058.6627333958 , :corrected-thickness , 0.043899999999999995 , :score , 705533.5552048961 , :cl-2D , 2.025771633005099 , :Drag , 699525.1075284997 , :corrected-position-camber , 0.8896592146790481 , :corrected-max-camber , 0.061799999999999994 , :max-camber , 6.18 , :CL-3D , 8.383471479747444 , 
:thickness , 4.52 , :generation , 256 , :positon-camber , 8.094240130099864 , :CD-Induced , 4.151310029092279 , :Lift , 1401266.2777675474 , :corrected-thickness , 0.0452 , :score , 705512.2417266387 , :cl-2D , 2.020826534991203 , :Drag , 695754.0360409087 , :corrected-position-camber , 0.8094240130099865 , :corrected-max-camber , 0.0833 , :max-camber , 8.33 , :CL-3D , 8.360843704804893 , 
:thickness , 7.63 , :generation , 139 , :positon-camber , 7.993735529668259 , :CD-Induced , 3.7577748078212396 , :Lift , 1333194.3410278654 , :corrected-thickness , 0.07629999999999999 , :score , 703396.2843295662 , :cl-2D , 1.9320638164895527 , :Drag , 629798.0566982992 , :corrected-position-camber , 0.7993735529668259 , :corrected-max-camber , 0.0815 , :max-camber , 8.15 , :CL-3D , 7.954683339145782 , 
:thickness , 14.05 , :generation , 1 , :positon-camber , 6.3727454111382755 , :CD-Induced , 0.49246124603293495 , :Lift , 482629.7801502645 , :corrected-thickness , 0.1405 , :score , 400093.9307147867 , :cl-2D , 0.8229662015153241 , :Drag , 82535.84943547782 , :corrected-position-camber , 0.6372745411138275 , :corrected-max-camber , 0.0395 , :max-camber , 3.95 , :CL-3D , 2.879675492904494 , 

